run_name,model,variant,pattern,target_pattern,rate,seed,result_path,mae_mean,rmse_mean,mae_T,mae_RH,mae_wspd,mae_P,mae_q,rmse_T,rmse_RH,rmse_wspd,rmse_P,rmse_q,best_epoch
ecbit_full_medium_r20_s43,ecbit,full,medium,,0.2,43,experiments/results/metrics/round2_gated/ecbit_full_medium_r20_s43/result.json,0.25838178396224976,0.3687962591648102,0.16067032516002655,0.4384942948818207,0.4230292737483978,0.052561476826667786,0.21715351939201355,0.214921772480011,0.5816758871078491,0.6642715334892273,0.06792660802602768,0.3151853084564209,48
ecbit_full_medium_r20_s44,ecbit,full,medium,,0.2,44,experiments/results/metrics/round2_gated/ecbit_full_medium_r20_s44/result.json,0.2580980658531189,0.36999988555908203,0.1597256064414978,0.43659767508506775,0.4246137738227844,0.053478214889764786,0.21607500314712524,0.21452447772026062,0.577229917049408,0.6751209497451782,0.06900060921907425,0.3141235113143921,49
ecbit_full_medium_r40_s42,ecbit,full,medium,,0.4,42,experiments/results/metrics/round2_gated/ecbit_full_medium_r40_s42/result.json,0.25849103927612305,0.3700368106365204,0.16016611456871033,0.4362104833126068,0.4244900345802307,0.053444113582372665,0.2181444615125656,0.2146570235490799,0.5796765089035034,0.6685782074928284,0.06926925480365753,0.31800299882888794,45
ecbit_full_medium_r40_s43,ecbit,full,medium,,0.4,43,experiments/results/metrics/round2_gated/ecbit_full_medium_r40_s43/result.json,0.25848737359046936,0.37042176723480225,0.15825752913951874,0.437328964471817,0.4267628490924835,0.052900686860084534,0.2171867936849594,0.21356061100959778,0.5818406343460083,0.6712685227394104,0.06829231232404709,0.317146897315979,45
ecbit_full_medium_r40_s44,ecbit,full,medium,,0.4,44,experiments/results/metrics/round2_gated/ecbit_full_medium_r40_s44/result.json,0.25723743438720703,0.3694689869880676,0.158103346824646,0.43578216433525085,0.42557770013809204,0.05060286447405815,0.21612095832824707,0.21247625350952148,0.5777556896209717,0.6757294535636902,0.06584018468856812,0.31554311513900757,49
ecbit_full_medium_r60_s42,ecbit,full,medium,,0.6,42,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s42/result.json,0.26069897413253784,0.3743724524974823,0.16124893724918365,0.4437587857246399,0.42766499519348145,0.05238037556409836,0.21844173967838287,0.2162742018699646,0.5869619250297546,0.6801215410232544,0.0688171237707138,0.3196874260902405,45
ecbit_full_medium_r60_s43,ecbit,full,medium,,0.6,43,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s43/result.json,0.2581695020198822,0.37198930978775024,0.15814274549484253,0.4377807378768921,0.42960643768310547,0.050622954964637756,0.21469469368457794,0.2132677137851715,0.5829893350601196,0.6813604831695557,0.06706281751394272,0.3152661919593811,49
ecbit_full_medium_r60_s44,ecbit,full,medium,,0.6,44,experiments/results/metrics/round2_gated/ecbit_full_medium_r60_s44/result.json,0.2596432864665985,0.37407490611076355,0.1576562225818634,0.4444158375263214,0.42910704016685486,0.05236092954874039,0.21467645466327667,0.21325315535068512,0.586853563785553,0.686257004737854,0.06878194957971573,0.3152288496494293,49
ecbit_full_short_r20_s42,ecbit,full,short,,0.2,42,experiments/results/metrics/round2_gated/ecbit_full_short_r20_s42/result.json,0.2503734230995178,0.35912635922431946,0.1546582281589508,0.41705524921417236,0.4137745499610901,0.05421840399503708,0.21216078102588654,0.20509585738182068,0.5557613372802734,0.6526957750320435,0.07242434471845627,0.30965450406074524,45
ecbit_full_short_r20_s43,ecbit,full,short,,0.2,43,experiments/results/metrics/round2_gated/ecbit_full_short_r20_s43/result.json,0.2495536059141159,0.35924673080444336,0.15335804224014282,0.41846922039985657,0.41149482131004333,0.054090093821287155,0.21035578846931458,0.20518702268600464,0.5578039884567261,0.654738187789917,0.07235514372587204,0.30614933371543884,44
ecbit_full_short_r20_s44,ecbit,full,short,,0.2,44,experiments/results/metrics/round2_gated/ecbit_full_short_r20_s44/result.json,0.24906425178050995,0.3577215075492859,0.15258054435253143,0.4159296154975891,0.414031982421875,0.05406879261136055,0.20871029794216156,0.20313338935375214,0.5546352863311768,0.6557433605194092,0.07137160003185272,0.30372393131256104,48
ecbit_full_short_r40_s42,ecbit,full,short,,0.4,42,experiments/results/metrics/round2_gated/ecbit_full_short_r40_s42/result.json,0.2477385252714157,0.355896532535553,0.15075063705444336,0.4157088100910187,0.4121050536632538,0.051311127841472626,0.20881693065166473,0.20123301446437836,0.5574976205825806,0.6459529995918274,0.0707637220621109,0.304035484790802,47
ecbit_full_short_r40_s43,ecbit,full,short,,0.4,43,experiments/results/metrics/round2_gated/ecbit_full_short_r40_s43/result.json,0.24759170413017273,0.3547622263431549,0.1520414799451828,0.41406115889549255,0.41236934065818787,0.050783414393663406,0.20870313048362732,0.20253178477287292,0.5538941621780396,0.6463532447814941,0.0671752467751503,0.30385661125183105,46
